3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  1
3  sending request vote to the follower  0
3  sending request vote to the follower  2
Commit quorum changed successfully!, time:  1692687134776017594  commit quorum:  [4]
3 Leader sending wake to change the crashed follower:  4  commit quorum
Quourm adapter wake
[4]  Meets Latency req:  false  EWMA:  map[0:Id: 0, EWMA: 55017890.147840 1:Id: 1, EWMA: 54984432.472648 2:Id: 2, EWMA: 26980820.356625 4:Id: 4, EWMA: 1500000000.000000]
3  Leader changing commit quorum:  [2]  time:  1692687139510367424
3  Leader changing EWMA Map:  map[0:Id: 0, EWMA: 55017890.147840 1:Id: 1, EWMA: 54984432.472648 2:Id: 2, EWMA: 26980820.356625 4:Id: 4, EWMA: 1500000000.000000]
Sending message to all the nodes as !ok.
Commit quorum changed successfully!, time:  1692687139565899733  commit quorum:  [2]
2023-08-22 06:52:33.71061731 +0000 UTC m=+34.117307449 ,  2023-08-22 06:52:33.743995294 +0000 UTC m=+34.150685433 ,  33377824
2023-08-22 06:52:34.007017843 +0000 UTC m=+34.413707962 ,  2023-08-22 06:52:34.040067398 +0000 UTC m=+34.446757507 ,  33049474
2023-08-22 06:52:34.069175893 +0000 UTC m=+34.475866032 ,  2023-08-22 06:52:34.106435524 +0000 UTC m=+34.513125653 ,  37259491
2023-08-22 06:52:34.368917023 +0000 UTC m=+34.775607132 ,  2023-08-22 06:52:34.406065405 +0000 UTC m=+34.812755534 ,  37148282
2023-08-22 06:52:34.435292945 +0000 UTC m=+34.841983084 ,  2023-08-22 06:52:34.46866654 +0000 UTC m=+34.875356650 ,  33373485
2023-08-22 06:52:34.73127084 +0000 UTC m=+35.137960980 ,  2023-08-22 06:52:34.768517217 +0000 UTC m=+35.175207356 ,  37246236
2023-08-22 06:52:34.797595295 +0000 UTC m=+35.204285404 ,  2023-08-22 06:52:34.83073541 +0000 UTC m=+35.237425549 ,  33140005
2023-08-22 06:52:35.093512848 +0000 UTC m=+35.500202997 ,  2023-08-22 06:52:35.128937851 +0000 UTC m=+35.535627970 ,  35424893
2023-08-22 06:52:35.158067816 +0000 UTC m=+35.564757945 ,  2023-08-22 06:52:35.191523116 +0000 UTC m=+35.598213255 ,  33455160
2023-08-22 06:52:35.454397525 +0000 UTC m=+35.861087644 ,  2023-08-22 06:52:35.491910113 +0000 UTC m=+35.898600252 ,  37512478
2023-08-22 06:52:35.521085755 +0000 UTC m=+35.927775864 ,  2023-08-22 06:52:35.5545067 +0000 UTC m=+35.961196809 ,  33420885
2023-08-22 06:52:35.816847814 +0000 UTC m=+36.223537923 ,  2023-08-22 06:52:35.854171496 +0000 UTC m=+36.260861606 ,  37323612
2023-08-22 06:52:35.883218145 +0000 UTC m=+36.289908274 ,  2023-08-22 06:52:35.916597331 +0000 UTC m=+36.323287470 ,  33379066
2023-08-22 06:52:36.178842314 +0000 UTC m=+36.585532433 ,  2023-08-22 06:52:36.215045544 +0000 UTC m=+36.621735673 ,  36203110
2023-08-22 06:52:36.244158818 +0000 UTC m=+36.650848957 ,  2023-08-22 06:52:36.277724325 +0000 UTC m=+36.684414474 ,  33565337
2023-08-22 06:52:36.54012431 +0000 UTC m=+36.946814459 ,  2023-08-22 06:52:36.577881621 +0000 UTC m=+36.984571760 ,  37757170
2023-08-22 06:52:36.607064756 +0000 UTC m=+37.013754885 ,  2023-08-22 06:52:36.640317063 +0000 UTC m=+37.047007202 ,  33252187
2023-08-22 06:52:36.902776891 +0000 UTC m=+37.309467000 ,  2023-08-22 06:52:36.940245567 +0000 UTC m=+37.346935706 ,  37468565
2023-08-22 06:52:36.96942222 +0000 UTC m=+37.376112359 ,  2023-08-22 06:52:37.002816615 +0000 UTC m=+37.409506764 ,  33394275
2023-08-22 06:52:37.265351294 +0000 UTC m=+37.672041403 ,  2023-08-22 06:52:37.297487857 +0000 UTC m=+37.704177966 ,  32136493
2023-08-22 06:52:37.326538274 +0000 UTC m=+37.733228383 ,  2023-08-22 06:52:37.362874895 +0000 UTC m=+37.769565034 ,  36336521
2023-08-22 06:52:37.631267948 +0000 UTC m=+38.037958097 ,  2023-08-22 06:52:37.663691733 +0000 UTC m=+38.070381872 ,  32423635
2023-08-22 06:52:37.692864439 +0000 UTC m=+38.099554578 ,  2023-08-22 06:52:37.726285033 +0000 UTC m=+38.132975162 ,  33420354
2023-08-22 06:52:37.988133428 +0000 UTC m=+38.394823567 ,  2023-08-22 06:52:38.016289588 +0000 UTC m=+38.422979727 ,  28155990
2023-08-22 06:52:38.045462515 +0000 UTC m=+38.452152624 ,  2023-08-22 06:52:38.080075918 +0000 UTC m=+38.486766067 ,  34613262
2023-08-22 06:52:38.342917104 +0000 UTC m=+38.749607223 ,  2023-08-22 06:52:38.380122433 +0000 UTC m=+38.786812572 ,  37205209
2023-08-22 06:52:38.409155095 +0000 UTC m=+38.815845235 ,  2023-08-22 06:52:38.44240037 +0000 UTC m=+38.849090509 ,  33245134
2023-08-22 06:52:38.704881026 +0000 UTC m=+39.111571145 ,  2023-08-22 06:52:38.742525674 +0000 UTC m=+39.149215813 ,  37644528
2023-08-22 06:52:38.771834928 +0000 UTC m=+39.178525057 ,  2023-08-22 06:52:38.801028734 +0000 UTC m=+39.207718843 ,  29193635
2023-08-22 06:52:39.063835345 +0000 UTC m=+39.470525474 ,  2023-08-22 06:52:39.094239884 +0000 UTC m=+39.500930003 ,  30404428
2023-08-22 06:52:39.123474076 +0000 UTC m=+39.530164205 ,  2023-08-22 06:52:39.156793429 +0000 UTC m=+39.563483558 ,  33319223
2023-08-22 06:52:39.419315845 +0000 UTC m=+39.826005954 ,  2023-08-22 06:52:39.456597267 +0000 UTC m=+39.863287406 ,  37281272
[2]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 39318955.486072 1:Id: 1, EWMA: 39302182.347159 2:Id: 2, EWMA: 26905845.151842 4:Id: 4, EWMA: 1500000000.000000]
2023-08-22 06:52:39.48570974 +0000 UTC m=+39.892399869 ,  2023-08-22 06:52:39.519145543 +0000 UTC m=+39.925835682 ,  33435673
2023-08-22 06:52:39.781624477 +0000 UTC m=+40.188314586 ,  2023-08-22 06:52:39.818425614 +0000 UTC m=+40.225115763 ,  36800997
2023-08-22 06:52:39.847591327 +0000 UTC m=+40.254281466 ,  2023-08-22 06:52:39.882898959 +0000 UTC m=+40.289589078 ,  35307521
2023-08-22 06:52:40.145064721 +0000 UTC m=+40.551754870 ,  2023-08-22 06:52:40.182306669 +0000 UTC m=+40.588996808 ,  37241818
2023-08-22 06:52:40.211389005 +0000 UTC m=+40.618079144 ,  2023-08-22 06:52:40.244725672 +0000 UTC m=+40.651415811 ,  33336527
2023-08-22 06:52:40.507102162 +0000 UTC m=+40.913792301 ,  2023-08-22 06:52:40.544504703 +0000 UTC m=+40.951194822 ,  37402451
2023-08-22 06:52:40.573598851 +0000 UTC m=+40.980288960 ,  2023-08-22 06:52:40.606908797 +0000 UTC m=+41.013598916 ,  33309866
2023-08-22 06:52:40.869821398 +0000 UTC m=+41.276511537 ,  2023-08-22 06:52:40.906936307 +0000 UTC m=+41.313626446 ,  37114769
2023-08-22 06:52:40.936175609 +0000 UTC m=+41.342865758 ,  2023-08-22 06:52:40.969732921 +0000 UTC m=+41.376423060 ,  33557161
2023-08-22 06:52:41.232450694 +0000 UTC m=+41.639140803 ,  2023-08-22 06:52:41.268578502 +0000 UTC m=+41.675268631 ,  36127698
2023-08-22 06:52:41.297660607 +0000 UTC m=+41.704350716 ,  2023-08-22 06:52:41.331209323 +0000 UTC m=+41.737899452 ,  33548596
2023-08-22 06:52:41.594302064 +0000 UTC m=+42.000992173 ,  2023-08-22 06:52:41.630893926 +0000 UTC m=+42.037584065 ,  36591742
2023-08-22 06:52:41.660041756 +0000 UTC m=+42.066731895 ,  2023-08-22 06:52:41.693594299 +0000 UTC m=+42.100284438 ,  33552412
2023-08-22 06:52:41.956359542 +0000 UTC m=+42.363049651 ,  2023-08-22 06:52:41.992923232 +0000 UTC m=+42.399613381 ,  36563439
2023-08-22 06:52:42.022237815 +0000 UTC m=+42.428927964 ,  2023-08-22 06:52:42.055985937 +0000 UTC m=+42.462676056 ,  33748032
2023-08-22 06:52:42.318288799 +0000 UTC m=+42.724978948 ,  2023-08-22 06:52:42.357283271 +0000 UTC m=+42.763973410 ,  38994191
2023-08-22 06:52:42.386516551 +0000 UTC m=+42.793206700 ,  2023-08-22 06:52:42.420099371 +0000 UTC m=+42.826789480 ,  33582720
2023-08-22 06:52:42.682280422 +0000 UTC m=+43.088970562 ,  2023-08-22 06:52:42.710592066 +0000 UTC m=+43.117282205 ,  28311413
2023-08-22 06:52:42.739847278 +0000 UTC m=+43.146537417 ,  2023-08-22 06:52:42.773594017 +0000 UTC m=+43.180284146 ,  33746598
2023-08-22 06:52:43.035808411 +0000 UTC m=+43.442498540 ,  2023-08-22 06:52:43.072467821 +0000 UTC m=+43.479157950 ,  36659310
2023-08-22 06:52:43.101589872 +0000 UTC m=+43.508280011 ,  2023-08-22 06:52:43.135040092 +0000 UTC m=+43.541730231 ,  33450080
2023-08-22 06:52:43.164439406 +0000 UTC m=+43.571129545 ,  2023-08-22 06:52:43.197624386 +0000 UTC m=+43.604314525 ,  33184349
2023-08-22 06:52:43.164397196 +0000 UTC m=+43.571087325 ,  2023-08-22 06:52:43.197661496 +0000 UTC m=+43.604351635 ,  33263809
2023-08-22 06:52:43.164495191 +0000 UTC m=+43.571185330 ,  2023-08-22 06:52:43.197703204 +0000 UTC m=+43.604393323 ,  33207723
2023-08-22 06:52:43.165492671 +0000 UTC m=+43.572182800 ,  2023-08-22 06:52:43.1980882 +0000 UTC m=+43.604778329 ,  32595429
2023-08-22 06:52:43.165589003 +0000 UTC m=+43.572279112 ,  2023-08-22 06:52:43.198115532 +0000 UTC m=+43.604805681 ,  32526098
2023-08-22 06:52:43.164523174 +0000 UTC m=+43.571213313 ,  2023-08-22 06:52:43.197766053 +0000 UTC m=+43.604456192 ,  33242678
2023-08-22 06:52:43.165563334 +0000 UTC m=+43.572253453 ,  2023-08-22 06:52:43.19815721 +0000 UTC m=+43.604847349 ,  32593626
2023-08-22 06:52:43.165600324 +0000 UTC m=+43.572290443 ,  2023-08-22 06:52:43.198179242 +0000 UTC m=+43.604869381 ,  32578838
2023-08-22 06:52:43.165750357 +0000 UTC m=+43.572440476 ,  2023-08-22 06:52:43.198205671 +0000 UTC m=+43.604895821 ,  32455144
2023-08-22 06:52:43.16568278 +0000 UTC m=+43.572372909 ,  2023-08-22 06:52:43.19822081 +0000 UTC m=+43.604910919 ,  32537850
2023-08-22 06:52:43.16455335 +0000 UTC m=+43.571243489 ,  2023-08-22 06:52:43.197769028 +0000 UTC m=+43.604459167 ,  33215328
2023-08-22 06:52:43.165873429 +0000 UTC m=+43.572563548 ,  2023-08-22 06:52:43.198250776 +0000 UTC m=+43.604940916 ,  32377247
2023-08-22 06:52:43.16490343 +0000 UTC m=+43.571593579 ,  2023-08-22 06:52:43.197859319 +0000 UTC m=+43.604549448 ,  32955768
2023-08-22 06:52:43.165754865 +0000 UTC m=+43.572445055 ,  2023-08-22 06:52:43.198260635 +0000 UTC m=+43.604950774 ,  32505539
2023-08-22 06:52:43.164769979 +0000 UTC m=+43.571460158 ,  2023-08-22 06:52:43.197837858 +0000 UTC m=+43.604528007 ,  33067499
2023-08-22 06:52:43.16518979 +0000 UTC m=+43.571879989 ,  2023-08-22 06:52:43.197900887 +0000 UTC m=+43.604591016 ,  32710927
2023-08-22 06:52:43.167248181 +0000 UTC m=+43.573938290 ,  2023-08-22 06:52:43.198293968 +0000 UTC m=+43.604984097 ,  31045707
2023-08-22 06:52:43.164953815 +0000 UTC m=+43.571644015 ,  2023-08-22 06:52:43.19790241 +0000 UTC m=+43.604592549 ,  32948303
2023-08-22 06:52:43.165194219 +0000 UTC m=+43.571884418 ,  2023-08-22 06:52:43.197960329 +0000 UTC m=+43.604650478 ,  32765549
2023-08-22 06:52:43.165269941 +0000 UTC m=+43.571960090 ,  2023-08-22 06:52:43.19799286 +0000 UTC m=+43.604682999 ,  32722448
2023-08-22 06:52:43.16529049 +0000 UTC m=+43.571980629 ,  2023-08-22 06:52:43.198015102 +0000 UTC m=+43.604705241 ,  32724392
2023-08-22 06:52:43.165273067 +0000 UTC m=+43.571963206 ,  2023-08-22 06:52:43.198018188 +0000 UTC m=+43.604708337 ,  32744941
2023-08-22 06:52:43.165341326 +0000 UTC m=+43.572031475 ,  2023-08-22 06:52:43.198028808 +0000 UTC m=+43.604718947 ,  32687372
2023-08-22 06:52:43.165294197 +0000 UTC m=+43.571984336 ,  2023-08-22 06:52:43.198034028 +0000 UTC m=+43.604724177 ,  32739721
2023-08-22 06:52:43.165359891 +0000 UTC m=+43.572050060 ,  2023-08-22 06:52:43.198044979 +0000 UTC m=+43.604735088 ,  32684857
2023-08-22 06:52:43.165343911 +0000 UTC m=+43.572034060 ,  2023-08-22 06:52:43.198045169 +0000 UTC m=+43.604735298 ,  32701138
2023-08-22 06:52:43.165384247 +0000 UTC m=+43.572074396 ,  2023-08-22 06:52:43.198062001 +0000 UTC m=+43.604752130 ,  32677603
2023-08-22 06:52:43.165363107 +0000 UTC m=+43.572053246 ,  2023-08-22 06:52:43.198062752 +0000 UTC m=+43.604752891 ,  32699194
2023-08-22 06:52:43.165410035 +0000 UTC m=+43.572100175 ,  2023-08-22 06:52:43.19807252 +0000 UTC m=+43.604762629 ,  32662404
